"","idcode","industry","occupation","union","wage","hours","ttl_exp","tenure","age","gender","race","married","yearsofschooling","collgrad","south","smsa","c_city"
"1",1,"Transport/Comm/Utility","Operatives","union",11.73913,48,10.33333,5.333333,37,"male","black","single",12,"not college grad",0,"SMSA",0
"2",2,"Manufacturing","Craftsmen","union",6.400963,40,13.62179,5.25,37,"male","black","single",12,"not college grad",0,"SMSA",1
"3",3,"Manufacturing","Sales","nonunion",5.016723,40,17.73077,1.25,42,"female","black","single",12,"not college grad",0,"SMSA",1
"4",4,"Professional Services","Other","union",9.033813,42,13.21154,1.75,43,"female","white","married",17,"college grad",0,"SMSA",0
"5",6,"Manufacturing","Operatives","nonunion",8.083731,48,17.82051,17.75,42,"male","white","married",12,"not college grad",0,"SMSA",0
"6",7,"Professional Services","Sales","nonunion",4.62963,30,7.326923,2.25,39,"male","white","married",12,"not college grad",0,"SMSA",0
"7",9,"Transport/Comm/Utility","Managers/admin","union",10.49114,40,19.04487,19,37,"male","white","single",12,"not college grad",0,"SMSA",1
"8",12,"Professional Services","Managers/admin","nonunion",17.20612,45,15.55769,14.16667,40,"male","white","married",18,"college grad",0,"SMSA",0
"9",13,"Professional Services","Sales","nonunion",13.08374,8,14.25,5.5,40,"male","white","married",14,"not college grad",0,"SMSA",0
"10",14,"Professional Services","Professional/technical","nonunion",7.745568,50,7.384615,2.25,40,"male","white","married",15,"not college grad",0,"SMSA",0
"11",15,"Professional Services","Professional/technical","union",16.79548,16,15.76923,8.416667,39,"male","white","married",16,"college grad",0,"SMSA",0
"12",16,"Professional Services","Professional/technical","nonunion",15.48309,40,16.38461,13.83333,40,"male","white","married",15,"not college grad",0,"SMSA",0
"13",18,"Wholesale/Retail Trade","Craftsmen","nonunion",5.233495,40,7.75,7.75,40,"male","white","married",15,"not college grad",0,"SMSA",0
"14",19,"Professional Services","Professional/technical","union",10.16103,40,14.21154,5.583333,40,"male","white","single",15,"not college grad",0,"SMSA",0
"15",20,"Professional Services","Professional/technical","union",9.661837,4,15.85897,4.666667,39,"male","white","married",15,"not college grad",0,"SMSA",0
"16",22,"Professional Services","Professional/technical","nonunion",9.057972,32,15.01282,3,41,"male","white","married",15,"not college grad",0,"SMSA",0
"17",23,"Professional Services","Professional/technical","nonunion",8.05153,45,15.34616,8.083333,42,"female","white","married",15,"college grad",0,"nonSMSA",0
"18",24,"Professional Services","Professional/technical","nonunion",11.09501,24,16.46795,3.416667,41,"male","white","married",14,"college grad",0,"SMSA",0
"19",25,"Professional Services","Professional/technical","nonunion",9.581316,40,17.75,5.416667,42,"male","white","married",14,"college grad",0,"SMSA",1
"20",36,"Business/Repair Svc","Clerical/unskilled","nonunion",4.180602,40,15.9359,0.9166667,37,"female","white","single",12,"not college grad",0,"SMSA",0
"21",39,"Professional Services","Professional/technical","nonunion",9.790657,40,8.839744,7.916667,44,"male","white","single",16,"college grad",0,"SMSA",0
"22",44,"Public Administration","Professional/technical","union",28.45666,35,16.20513,3.5,41,"male","white","married",18,"college grad",0,"SMSA",0
"23",45,"Transport/Comm/Utility","Sales","union",10.18518,38,17.25,17.25,35,"female","white","married",12,"not college grad",0,"SMSA",0
"24",46,"Professional Services","Sales","nonunion",3.051529,25,5.544872,2.916667,44,"female","white","married",18,"college grad",0,"SMSA",0
"25",47,"Transport/Comm/Utility","Craftsmen","nonunion",3.526568,40,8.737179,0.75,35,"female","white","single",12,"not college grad",0,"SMSA",0
"26",48,"Finance/Ins/Real Estate","Sales","nonunion",5.852843,40,5.557693,0.3333333,35,"male","white","single",15,"not college grad",0,"SMSA",1
"27",50,"Professional Services","Professional/technical","nonunion",35.73162,45,9.423077,6.416667,36,"male","white","single",16,"college grad",0,"SMSA",1
"28",51,"Professional Services","Professional/technical","nonunion",4.428341,18,10.26923,3.25,38,"male","white","married",12,"not college grad",0,"SMSA",0
"29",54,"Professional Services","Laborers","nonunion",5.032206,55,10.39744,0.75,40,"female","white","single",12,"not college grad",0,"SMSA",1
"30",57,"Wholesale/Retail Trade","Sales","nonunion",5.780996,40,12.84615,7.25,42,"female","white","married",12,"not college grad",0,"SMSA",1
"31",62,"Wholesale/Retail Trade","Sales","nonunion",5.11272,40,7.365385,5.916667,38,"male","white","married",10,"not college grad",0,"nonSMSA",0
"32",63,"Professional Services","Professional/technical","union",25.1606,18,10.38461,2.083333,44,"female","white","single",15,"college grad",0,"SMSA",1
"33",64,"Professional Services","Laborers","union",4.404185,30,7.384615,3.333333,38,"female","white","married",12,"not college grad",0,"SMSA",0
"34",66,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",4.710144,9,11.48077,9.75,39,"male","white","married",13,"not college grad",0,"SMSA",1
"35",67,"Professional Services","Professional/technical","nonunion",8.05153,24,11.03846,3.166667,40,"male","white","married",15,"not college grad",0,"nonSMSA",0
"36",70,"Transport/Comm/Utility","Sales","nonunion",16.73912,38,16.08333,16.08333,36,"female","white","married",13,"not college grad",0,"nonSMSA",0
"37",71,"Manufacturing","Sales","nonunion",5.724636,38,10.5,2.5,34,"male","white","married",12,"not college grad",0,"nonSMSA",0
"38",72,"Professional Services","Sales","union",7.458193,40,9.442307,1.083333,36,"male","white","married",12,"not college grad",0,"SMSA",0
"39",73,"Manufacturing","Sales","nonunion",6.793478,40,14.44231,0.5,36,"male","white","single",14,"not college grad",0,"nonSMSA",0
"40",75,"Manufacturing","Operatives","union",12.5,40,14.5,9.333333,39,"female","black","single",11,"not college grad",0,"nonSMSA",0
"41",78,"Finance/Ins/Real Estate","Sales","nonunion",17.69726,35,16.32692,9.083333,40,"female","white","married",12,"not college grad",0,"SMSA",1
"42",80,"Professional Services","Sales","nonunion",12.0773,8,5.717949,0,45,"female","white","married",14,"not college grad",0,"SMSA",0
"43",85,"Manufacturing","Sales","nonunion",9.406354,40,6.192307,1.5,38,"female","white","single",11,"not college grad",0,"SMSA",1
"44",86,"Entertainment/Rec Svc","Laborers","union",13.17229,44,16.26923,1.25,44,"female","white","single",17,"college grad",0,"SMSA",0
"45",103,"Professional Services","Other","union",11.0628,35,9.833333,0,36,"female","white","married",18,"college grad",0,"SMSA",1
"46",104,"Professional Services","Other","nonunion",3.743959,18,8.948718,2.75,41,"male","white","married",17,"college grad",0,"SMSA",0
"47",105,"Wholesale/Retail Trade","Sales","nonunion",4.025765,8,8.788462,5.583333,41,"female","white","married",16,"college grad",0,"SMSA",0
"48",106,"Public Administration","Sales","nonunion",10.83736,40,17.41667,17.41667,38,"female","black","single",12,"not college grad",1,"SMSA",1
"49",107,"Manufacturing","Operatives","union",4.347824,40,7.544871,1.083333,43,"female","black","single",8,"not college grad",0,"SMSA",1
"50",110,"Professional Services","Sales","union",4.710144,20,6.660256,2.583333,45,"female","white","married",12,"not college grad",0,"SMSA",0
"51",121,"Transport/Comm/Utility","Sales","union",9.726243,38,20.69872,20.66667,39,"male","black","married",12,"not college grad",0,"SMSA",1
